,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
0,OBJECT_DEVICE_508,NAE07,PH penthouse mechanical room
1,OBJECT_ANALOG_INPUT_3000268,NAE07/FC-1.NAE7-T1-FEC43.SCHWS-T,Secondary CHW Supply Temp
2,OBJECT_ANALOG_INPUT_3000269,NAE07/FC-1.NAE7-T1-FEC43.SCHWR-T,Secondary CHW Return Temp
3,OBJECT_ANALOG_INPUT_3000282,NAE07/FC-1.NAE7-T1-FEC43.SCHW-DP,Chill Water Diff Pressure
4,OBJECT_ANALOG_INPUT_3000299,NAE07/FC-1.NAE7-T1-FEC44.ZN-T,Zone Temperature
5,OBJECT_ANALOG_INPUT_3000303,NAE07/FC-1.NAE7-T1-FEC45.ZN21-T,Zone2 Temperature
6,OBJECT_ANALOG_INPUT_3000307,NAE07/FC-1.NAE7-T1-FEC45.ZN20-T,Zone Temperature
7,OBJECT_ANALOG_INPUT_3000320,NAE07/FC-1.NAE7-T1-FEC46.ZN19-T,Zone Temperature
8,OBJECT_ANALOG_INPUT_3000322,NAE07/FC-1.NAE7-T1-FEC46.EA13-H,Exhaust Air Humidity
9,OBJECT_ANALOG_INPUT_3000323,NAE07/FC-1.NAE7-T1-FEC46.EA19-H,Exhaust Air Humidity
10,OBJECT_ANALOG_INPUT_3000327,NAE07/FC-1.NAE7-T1-FEC46.EA10-H,Exhaust Air Humidity
11,OBJECT_ANALOG_INPUT_3000350,NAE07/FC-1.NAE7-T1-FEC50.ZN-T,AHU-3 Zone Temperature Setpoint
12,OBJECT_ANALOG_INPUT_3000448,NAE07/FC-1.AHU 1&2.DA-H,Discharge Air Humidity
13,OBJECT_ANALOG_INPUT_3000449,NAE07/FC-1.AHU 1&2.DA-T,Discharge Air Temperature
14,OBJECT_ANALOG_INPUT_3000451,NAE07/FC-1.AHU 1&2.CHWR-T,Preheat Leaving Water Temperature
15,OBJECT_ANALOG_INPUT_3000455,NAE07/FC-1.AHU 1&2.DA2-P,Discharge Air Static Pressure 2
