,Unnamed: 0,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
0,0,OBJECT_DEVICE_503,MeSH_Boiler'NAE03\MeSH_Notification',23rd floor mechanical room
1,1,OBJECT_ANALOG_INPUT_3000018,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC17.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
2,2,OBJECT_ANALOG_INPUT_3000020,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC17.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
3,3,OBJECT_ANALOG_INPUT_3000036,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC18.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
4,4,OBJECT_ANALOG_INPUT_3000038,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC18.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
5,5,OBJECT_ANALOG_INPUT_3000054,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC19.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
6,6,OBJECT_ANALOG_INPUT_3000056,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC19.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
7,7,OBJECT_ANALOG_INPUT_3000072,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC20.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
8,8,OBJECT_ANALOG_INPUT_3000074,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC20.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
9,9,OBJECT_ANALOG_INPUT_3000090,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC21.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
10,10,OBJECT_ANALOG_INPUT_3000092,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC21.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
11,11,OBJECT_ANALOG_INPUT_3000108,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC22.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
12,12,OBJECT_ANALOG_INPUT_3000110,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC22.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
13,13,OBJECT_ANALOG_INPUT_3000126,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC23.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
14,14,OBJECT_ANALOG_INPUT_3000128,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC23.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
15,15,OBJECT_ANALOG_INPUT_3000144,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC24.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
16,16,OBJECT_ANALOG_INPUT_3000146,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC24.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
17,17,OBJECT_ANALOG_INPUT_3000162,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC25.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
18,18,OBJECT_ANALOG_INPUT_3000164,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC25.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
19,19,OBJECT_ANALOG_INPUT_3000180,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC26.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
20,20,OBJECT_ANALOG_INPUT_3000182,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC26.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
21,21,OBJECT_ANALOG_INPUT_3000198,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC27.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
22,22,OBJECT_ANALOG_INPUT_3000200,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC27.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
