,Unnamed: 0.1,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION,label
0,0,OBJECT_DEVICE_508,MeSH_Boiler'NAE08\MeSH_Notification',PH penthouse mechanical room,ahus outside air flow sp
1,1,OBJECT_ANALOG_INPUT_3000268,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE08-T1-FEC70.ZN2-MeSH_Temperature\MeSH_Notification'",Secondary CHW Supply Temp,ahus zone air temp sensor
2,2,OBJECT_ANALOG_INPUT_3000269,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE08-T1-FEC70.ZN1-MeSH_Temperature\MeSH_Notification'",Secondary CHW Return Temp,ahus return air temp sensor
3,3,OBJECT_ANALOG_INPUT_3000282,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC71.ZN2-MeSH_Temperature\MeSH_Notification'",Chill Water Diff Pressure,ahus outside air pressure sensor
4,4,OBJECT_ANALOG_INPUT_3000299,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC71.ZN1-MeSH_Temperature\MeSH_Notification'",Zone Temperature,ahus zone air temp sensor
5,5,OBJECT_ANALOG_INPUT_3000303,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC72.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
6,6,OBJECT_ANALOG_INPUT_3000307,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC72.ZN1-MeSH_Temperature\MeSH_Notification'",Zone Temperature,ahus zone air temp sensor
7,7,OBJECT_ANALOG_INPUT_3000320,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC73.ZN2-MeSH_Temperature\MeSH_Notification'",Zone Temperature,ahus zone air temp sensor
8,8,OBJECT_ANALOG_INPUT_3000322,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC73.ZN1-MeSH_Temperature\MeSH_Notification'",Exhaust Air Humidity,ahus return air humidity sensor
9,9,OBJECT_ANALOG_INPUT_3000323,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC74.ZN2-MeSH_Temperature\MeSH_Notification'",Exhaust Air Humidity,ahus return air humidity sensor
10,10,OBJECT_ANALOG_INPUT_3000327,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC74.ZN1-MeSH_Temperature\MeSH_Notification'",Exhaust Air Humidity,ahus return air humidity sensor
11,11,OBJECT_ANALOG_INPUT_3000350,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC75.ZN2-MeSH_Temperature\MeSH_Notification'",AHU-3 Zone Temperature Setpoint,ahus zone air temp effective sp
12,12,OBJECT_ANALOG_INPUT_3000448,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC75.ZN1-MeSH_Temperature\MeSH_Notification'",Discharge Air Humidity,ahus discharge air humidity sensor
13,13,OBJECT_ANALOG_INPUT_3000449,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC76.ZN2-MeSH_Temperature\MeSH_Notification'",Discharge Air Temperature,ahus discharge air temp sensor
14,14,OBJECT_ANALOG_INPUT_3000451,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC76.ZN1-MeSH_Temperature\MeSH_Notification'",Preheat Leaving Water Temperature,ahus exhaust air damper cmd
15,15,OBJECT_ANALOG_INPUT_3000455,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC77.ZN2-MeSH_Temperature\MeSH_Notification'",Discharge Air Static Pressure 2,ahus discharge air pressure sensor
16,16,OBJECT_ANALOG_INPUT_3000462,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC77.ZN1-MeSH_Temperature\MeSH_Notification'",Preheat Entering Water Temperature,ahus exhaust air damper cmd
