tagged,changed,model_version,id,object_description,object_name,present_value,point,equip,equip_id,create_time,update_time,inference_time
n,n,,OBJECT_ANALOG_INPUT:3000054,Zone2 Temperature,NAE08/FC-1.NAE08-T1-FEC70.ZN2-T,22.17113,,,,2020-03-27 16:06:12,,
n,n,,OBJECT_ANALOG_INPUT:3000056,Zone 1 Temperature,NAE08/FC-1.NAE08-T1-FEC70.ZN1-T,22.48691,,,,2020-03-27 16:24:34,,
n,n,,OBJECT_ANALOG_INPUT:3000071,Zone2 Temperature,NAE08/FC-1.NAE8-T1-FEC71.ZN2-T,22.49729,,,,2020-03-27 16:24:49,,
n,n,,OBJECT_ANALOG_INPUT:3000073,Zone 1 Temperature,NAE08/FC-1.NAE8-T1-FEC71.ZN1-T,23.0859,,,,2020-03-27 16:26:14,,
n,n,,OBJECT_ANALOG_INPUT:3000088,Zone2 Temperature,NAE08/FC-1.NAE8-T1-FEC72.ZN2-T,22.25278,,,,2020-03-27 16:28:02,,
n,n,,OBJECT_ANALOG_INPUT:3000090,Zone 1 Temperature,NAE08/FC-1.NAE8-T1-FEC72.ZN1-T,22.49874,,,,2020-03-27 16:29:05,,
n,n,,OBJECT_ANALOG_INPUT:3000105,Zone2 Temperature,NAE08/FC-1.NAE8-T1-FEC73.ZN2-T,22.43607,,,,2020-03-27 16:30:21,,
n,n,,OBJECT_ANALOG_INPUT:3000107,Zone 1 Temperature,NAE08/FC-1.NAE8-T1-FEC73.ZN1-T,22.54665,,,,2020-03-27 16:31:30,,
n,n,,OBJECT_ANALOG_INPUT:3000122,Zone2 Temperature,NAE08/FC-1.NAE8-T1-FEC74.ZN2-T,22.82812,,,,2020-03-27 16:32:21,,
n,n,,OBJECT_ANALOG_INPUT:3000124,Zone 1 Temperature,NAE08/FC-1.NAE8-T1-FEC74.ZN1-T,22.40623,,,,2020-03-27 17:05:03,,
n,n,,OBJECT_ANALOG_INPUT:3000139,Zone2 Temperature,NAE08/FC-1.NAE8-T1-FEC75.ZN2-T,22.4903,,,,2020-03-30 08:21:29,,
n,n,,OBJECT_ANALOG_INPUT:3000141,Zone 1 Temperature,NAE08/FC-1.NAE8-T1-FEC75.ZN1-T,22.81625,,,,2020-03-30 08:22:40,,
n,n,,OBJECT_ANALOG_INPUT:3000156,Zone2 Temperature,NAE08/FC-1.NAE8-T1-FEC76.ZN2-T,22.46597,,,,2020-03-30 08:23:43,,
n,n,,OBJECT_ANALOG_INPUT:3000158,Zone 1 Temperature,NAE08/FC-1.NAE8-T1-FEC76.ZN1-T,22.58784,,,,2020-03-30 08:24:30,,
n,n,,OBJECT_ANALOG_INPUT:3000173,Zone2 Temperature,NAE08/FC-1.NAE8-T1-FEC77.ZN2-T,21.47419,,,,2020-03-30 08:25:16,,
n,n,,OBJECT_ANALOG_INPUT:3000175,Zone 1 Temperature,NAE08/FC-1.NAE8-T1-FEC77.ZN1-T,23.00049,,,,2020-03-30 08:26:07,,
n,n,,OBJECT_ANALOG_INPUT:3000190,Zone2 Temperature,NAE08/FC-1.NAE8-T1-FEC78.ZN2-T,22.51617,,,,2020-03-30 08:26:48,,
n,n,,OBJECT_ANALOG_INPUT:3000192,Zone 1 Temperature,NAE08/FC-1.NAE8-T1-FEC78.ZN1-T,22.53251,,,,2020-03-30 08:27:24,,
n,n,,OBJECT_ANALOG_INPUT:3000207,Zone2 Temperature,NAE08/FC-1.NAE8-T1-FEC79.ZN2-T,21.19699,,,,2020-03-30 08:28:20,,
n,n,,OBJECT_ANALOG_INPUT:3000209,Zone 1 Temperature,NAE08/FC-1.NAE8-T1-FEC79.ZN1-T,22.29677,,,,2020-03-30 08:29:08,,
