,Unnamed: 0,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
0,0,OBJECT_DEVICE_502,MeSH_Boiler'NAE02\MeSH_Notification',15th floor mechanical room
1,1,OBJECT_ANALOG_INPUT_3000019,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC30.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
2,2,OBJECT_ANALOG_INPUT_3000021,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC30.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
3,3,OBJECT_ANALOG_INPUT_3000037,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC31.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
4,4,OBJECT_ANALOG_INPUT_3000039,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC31.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
5,5,OBJECT_ANALOG_INPUT_3000055,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC32.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
6,6,OBJECT_ANALOG_INPUT_3000057,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC32.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
7,7,OBJECT_ANALOG_INPUT_3000073,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC33.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
8,8,OBJECT_ANALOG_INPUT_3000075,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC33.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
9,9,OBJECT_ANALOG_INPUT_3000091,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC34.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
10,10,OBJECT_ANALOG_INPUT_3000093,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC34.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
11,11,OBJECT_ANALOG_INPUT_3000109,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC35.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
12,12,OBJECT_ANALOG_INPUT_3000111,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC35.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
13,13,OBJECT_ANALOG_INPUT_3000127,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC36.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
14,14,OBJECT_ANALOG_INPUT_3000129,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC36.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
15,15,OBJECT_ANALOG_INPUT_3000145,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC37.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
16,16,OBJECT_ANALOG_INPUT_3000147,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC37.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
17,17,OBJECT_ANALOG_INPUT_3000163,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC38.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
18,18,OBJECT_ANALOG_INPUT_3000165,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC38.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
19,19,OBJECT_ANALOG_INPUT_3000181,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC39.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
20,20,OBJECT_ANALOG_INPUT_3000183,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC39.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
21,21,OBJECT_ANALOG_INPUT_3000199,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC40.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
22,22,OBJECT_ANALOG_INPUT_3000201,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC40.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
23,23,OBJECT_ANALOG_INPUT_3000212,"MeSH_Boiler'NAE02/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE2-T2-FEC41.FLOOR-P1\MeSH_Notification'",Floor Static Pressure 1
