,Unnamed: 0,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
0,0,OBJECT_DEVICE_509,MeSH_Boiler'NAE08\MeSH_Notification',8th floor mechanical room
1,1,OBJECT_ANALOG_INPUT_3000054,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE08-T1-FEC70.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
2,2,OBJECT_ANALOG_INPUT_3000056,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE08-T1-FEC70.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
3,3,OBJECT_ANALOG_INPUT_3000071,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC71.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
4,4,OBJECT_ANALOG_INPUT_3000073,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC71.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
5,5,OBJECT_ANALOG_INPUT_3000088,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC72.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
6,6,OBJECT_ANALOG_INPUT_3000090,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC72.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
7,7,OBJECT_ANALOG_INPUT_3000105,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC73.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
8,8,OBJECT_ANALOG_INPUT_3000107,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC73.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
9,9,OBJECT_ANALOG_INPUT_3000122,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC74.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
10,10,OBJECT_ANALOG_INPUT_3000124,"MeSH_Boiler'NAE08/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE8-T1-FEC74.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
