,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
0,OBJECT_DEVICE_503,NAE03
1,OBJECT_ANALOG_INPUT_3000018,NAE03/FC-2.NAE3-T2-FEC17.ZN2-T
2,OBJECT_ANALOG_INPUT_3000020,NAE03/FC-2.NAE3-T2-FEC17.ZN1-T
3,OBJECT_ANALOG_INPUT_3000036,NAE03/FC-2.NAE3-T2-FEC18.ZN2-T
4,OBJECT_ANALOG_INPUT_3000038,NAE03/FC-2.NAE3-T2-FEC18.ZN1-T
5,OBJECT_ANALOG_INPUT_3000054,NAE03/FC-2.NAE3-T2-FEC19.ZN2-T
6,OBJECT_ANALOG_INPUT_3000056,NAE03/FC-2.NAE3-T2-FEC19.ZN1-T
7,OBJECT_ANALOG_INPUT_3000072,NAE03/FC-2.NAE3-T2-FEC20.ZN2-T
8,OBJECT_ANALOG_INPUT_3000074,NAE03/FC-2.NAE3-T2-FEC20.ZN1-T
9,OBJECT_ANALOG_INPUT_3000090,NAE03/FC-2.NAE3-T2-FEC21.ZN2-T
10,OBJECT_ANALOG_INPUT_3000092,NAE03/FC-2.NAE3-T2-FEC21.ZN1-T
11,OBJECT_ANALOG_INPUT_3000108,NAE03/FC-2.NAE3-T2-FEC22.ZN2-T
12,OBJECT_ANALOG_INPUT_3000110,NAE03/FC-2.NAE3-T2-FEC22.ZN1-T
13,OBJECT_ANALOG_INPUT_3000126,NAE03/FC-2.NAE3-T2-FEC23.ZN2-T
14,OBJECT_ANALOG_INPUT_3000128,NAE03/FC-2.NAE3-T2-FEC23.ZN1-T
15,OBJECT_ANALOG_INPUT_3000144,NAE03/FC-2.NAE3-T2-FEC24.ZN2-T
16,OBJECT_ANALOG_INPUT_3000146,NAE03/FC-2.NAE3-T2-FEC24.ZN1-T
17,OBJECT_ANALOG_INPUT_3000162,NAE03/FC-2.NAE3-T2-FEC25.ZN2-T
18,OBJECT_ANALOG_INPUT_3000164,NAE03/FC-2.NAE3-T2-FEC25.ZN1-T
19,OBJECT_ANALOG_INPUT_3000180,NAE03/FC-2.NAE3-T2-FEC26.ZN2-T
20,OBJECT_ANALOG_INPUT_3000182,NAE03/FC-2.NAE3-T2-FEC26.ZN1-T
21,OBJECT_ANALOG_INPUT_3000198,NAE03/FC-2.NAE3-T2-FEC27.ZN2-T
22,OBJECT_ANALOG_INPUT_3000200,NAE03/FC-2.NAE3-T2-FEC27.ZN1-T
23,OBJECT_ANALOG_INPUT_3000211,NAE03/FC-2.NAE3-T2-FEC28.FLOOR-P1
24,OBJECT_ANALOG_INPUT_3000214,NAE03/FC-2.NAE3-T2-FEC28.FLOOR-P2
25,OBJECT_ANALOG_INPUT_3000225,NAE03/FC-2.NAE3-T2-FEC28.RA-CO2A
26,OBJECT_ANALOG_INPUT_3000226,NAE03/FC-2.NAE3-T2-FEC28.RA-CO2B
27,OBJECT_ANALOG_INPUT_3000227,NAE03/FC-2.NAE3-T2-FEC28.RA-CO2C
28,OBJECT_ANALOG_INPUT_3000228,NAE03/FC-2.NAE3-T2-FEC28.RA-CO2D
