,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
0,OBJECT_DEVICE_502,NAE02
1,OBJECT_ANALOG_INPUT_3000019,NAE02/FC-2.NAE2-T2-FEC30.ZN2-T
2,OBJECT_ANALOG_INPUT_3000021,NAE02/FC-2.NAE2-T2-FEC30.ZN1-T
3,OBJECT_ANALOG_INPUT_3000037,NAE02/FC-2.NAE2-T2-FEC31.ZN2-T
4,OBJECT_ANALOG_INPUT_3000039,NAE02/FC-2.NAE2-T2-FEC31.ZN1-T
5,OBJECT_ANALOG_INPUT_3000055,NAE02/FC-2.NAE2-T2-FEC32.ZN2-T
6,OBJECT_ANALOG_INPUT_3000057,NAE02/FC-2.NAE2-T2-FEC32.ZN1-T
7,OBJECT_ANALOG_INPUT_3000073,NAE02/FC-2.NAE2-T2-FEC33.ZN2-T
8,OBJECT_ANALOG_INPUT_3000075,NAE02/FC-2.NAE2-T2-FEC33.ZN1-T
9,OBJECT_ANALOG_INPUT_3000091,NAE02/FC-2.NAE2-T2-FEC34.ZN2-T
10,OBJECT_ANALOG_INPUT_3000093,NAE02/FC-2.NAE2-T2-FEC34.ZN1-T
11,OBJECT_ANALOG_INPUT_3000109,NAE02/FC-2.NAE2-T2-FEC35.ZN2-T
12,OBJECT_ANALOG_INPUT_3000111,NAE02/FC-2.NAE2-T2-FEC35.ZN1-T
13,OBJECT_ANALOG_INPUT_3000127,NAE02/FC-2.NAE2-T2-FEC36.ZN2-T
14,OBJECT_ANALOG_INPUT_3000129,NAE02/FC-2.NAE2-T2-FEC36.ZN1-T
15,OBJECT_ANALOG_INPUT_3000145,NAE02/FC-2.NAE2-T2-FEC37.ZN2-T
16,OBJECT_ANALOG_INPUT_3000147,NAE02/FC-2.NAE2-T2-FEC37.ZN1-T
17,OBJECT_ANALOG_INPUT_3000163,NAE02/FC-2.NAE2-T2-FEC38.ZN2-T
18,OBJECT_ANALOG_INPUT_3000165,NAE02/FC-2.NAE2-T2-FEC38.ZN1-T
19,OBJECT_ANALOG_INPUT_3000181,NAE02/FC-2.NAE2-T2-FEC39.ZN2-T
20,OBJECT_ANALOG_INPUT_3000183,NAE02/FC-2.NAE2-T2-FEC39.ZN1-T
21,OBJECT_ANALOG_INPUT_3000199,NAE02/FC-2.NAE2-T2-FEC40.ZN2-T
22,OBJECT_ANALOG_INPUT_3000201,NAE02/FC-2.NAE2-T2-FEC40.ZN1-T
23,OBJECT_ANALOG_INPUT_3000212,NAE02/FC-2.NAE2-T2-FEC41.FLOOR-P1
24,OBJECT_ANALOG_INPUT_3000215,NAE02/FC-2.NAE2-T2-FEC41.FLOOR-P2
25,OBJECT_ANALOG_INPUT_3000226,NAE02/FC-2.NAE2-T2-FEC41.RA-CO2A
26,OBJECT_ANALOG_INPUT_3000227,NAE02/FC-2.NAE2-T2-FEC41.RA-CO2B
27,OBJECT_ANALOG_INPUT_3000228,NAE02/FC-2.NAE2-T2-FEC41.RA-CO2C
28,OBJECT_ANALOG_INPUT_3000229,NAE02/FC-2.NAE2-T2-FEC41.RA-CO2D
29,OBJECT_ANALOG_INPUT_3000230,NAE02/FC-2.NAE2-T2-FEC41.RA-CO2E
30,OBJECT_ANALOG_INPUT_3000232,NAE02/FC-2.NAE2-T2-FEC41.SA-T
31,OBJECT_ANALOG_INPUT_3000235,NAE02/FC-2.NAE2-T2-FEC41.ZN1-T
32,OBJECT_ANALOG_INPUT_3000237,NAE02/FC-2.NAE2-T2-FEC41.ZN2-T
33,OBJECT_ANALOG_INPUT_3000239,NAE02/FC-2.NAE2-T2-FEC41.ZN3-T
34,OBJECT_ANALOG_INPUT_3000241,NAE02/FC-2.NAE2-T2-FEC41.ZN4-T
35,OBJECT_ANALOG_INPUT_3000248,NAE02/FC-2.NAE2-T2-FEC41.OA-F
36,OBJECT_ANALOG_INPUT_3000267,NAE02/FC-2.NAE2-T2-FEC17.ZN2-T
37,OBJECT_ANALOG_INPUT_3000269,NAE02/FC-2.NAE2-T2-FEC17.ZN1-T
38,OBJECT_ANALOG_INPUT_3000285,NAE02/FC-2.NAE2-T2-FEC18.ZN2-T
39,OBJECT_ANALOG_INPUT_3000287,NAE02/FC-2.NAE2-T2-FEC18.ZN1-T
40,OBJECT_ANALOG_INPUT_3000303,NAE02/FC-2.NAE2-T2-FEC19.ZN2-T
41,OBJECT_ANALOG_INPUT_3000305,NAE02/FC-2.NAE2-T2-FEC19.ZN1-T
42,OBJECT_ANALOG_INPUT_3000321,NAE02/FC-2.NAE2-T2-FEC20.ZN2-T
43,OBJECT_ANALOG_INPUT_3000323,NAE02/FC-2.NAE2-T2-FEC20.ZN1-T
44,OBJECT_ANALOG_INPUT_3000339,NAE02/FC-2.NAE2-T2-FEC21.ZN2-T
45,OBJECT_ANALOG_INPUT_3000341,NAE02/FC-2.NAE2-T2-FEC21.ZN1-T
46,OBJECT_ANALOG_INPUT_3000357,NAE02/FC-2.NAE2-T2-FEC22.ZN2-T
47,OBJECT_ANALOG_INPUT_3000359,NAE02/FC-2.NAE2-T2-FEC22.ZN1-T
48,OBJECT_ANALOG_INPUT_3000375,NAE02/FC-2.NAE2-T2-FEC23.ZN2-T
49,OBJECT_ANALOG_INPUT_3000377,NAE02/FC-2.NAE2-T2-FEC23.ZN1-T
