,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
0,OBJECT_DEVICE_507,NAE06,19th floor mechanical room
1,OBJECT_ANALOG_INPUT_3000011,NAE06/FC-1.NAE6-T1-FEC57.FLOOR-P1,Floor Static Pressure 1
2,OBJECT_ANALOG_INPUT_3000014,NAE06/FC-1.NAE6-T1-FEC57.FLOOR-P2,Floor Static Pressure 2
3,OBJECT_ANALOG_INPUT_3000025,NAE06/FC-1.NAE6-T1-FEC57.RA-CO2A,Return Air CO2 Sensor A
4,OBJECT_ANALOG_INPUT_3000026,NAE06/FC-1.NAE6-T1-FEC57.RA-CO2B,Return Air CO2 Sensor B
5,OBJECT_ANALOG_INPUT_3000027,NAE06/FC-1.NAE6-T1-FEC57.RA-CO2C,Return Air CO2 Sensor C
6,OBJECT_ANALOG_INPUT_3000028,NAE06/FC-1.NAE6-T1-FEC57.RA-CO2D,Return Air CO2 Sensor D
7,OBJECT_ANALOG_INPUT_3000029,NAE06/FC-1.NAE6-T1-FEC57.RA-CO2E,Return Air CO2
8,OBJECT_ANALOG_INPUT_3000031,NAE06/FC-1.NAE6-T1-FEC57.SA-T,Supply Air Temperature
9,OBJECT_ANALOG_INPUT_3000034,NAE06/FC-1.NAE6-T1-FEC57.ZN1-T,South West Corner
10,OBJECT_ANALOG_INPUT_3000036,NAE06/FC-1.NAE6-T1-FEC57.ZN2-T,North East Corner
11,OBJECT_ANALOG_INPUT_3000038,NAE06/FC-1.NAE6-T1-FEC57.ZN3-T,West Electrical Room
12,OBJECT_ANALOG_INPUT_3000040,NAE06/FC-1.NAE6-T1-FEC57.ZN4-T,Compartment Unit Temp
13,OBJECT_ANALOG_INPUT_3000047,NAE06/FC-1.NAE6-T1-FEC57.OA-F,Outdoor Air Flow
14,OBJECT_ANALOG_INPUT_3000066,NAE06/FC-1.NAE6-T1-FEC58.ZN2-T,Zone2 Temperature
15,OBJECT_ANALOG_INPUT_3000068,NAE06/FC-1.NAE6-T1-FEC58.ZN1-T,Zone 1 Temperature
16,OBJECT_ANALOG_INPUT_3000084,NAE06/FC-1.NAE6-T1-FEC59.ZN2-T,Zone2 Temperature
17,OBJECT_ANALOG_INPUT_3000086,NAE06/FC-1.NAE6-T1-FEC59.ZN1-T,Zone 1 Temperature
18,OBJECT_ANALOG_INPUT_3000102,NAE06/FC-1.NAE6-T1-FEC60.ZN2-T,Zone2 Temperature
19,OBJECT_ANALOG_INPUT_3000104,NAE06/FC-1.NAE6-T1-FEC60.ZN1-T,Zone 1 Temperature
20,OBJECT_ANALOG_INPUT_3000120,NAE06/FC-1.NAE6-T1-FEC61.ZN2-T,Zone2 Temperature
21,OBJECT_ANALOG_INPUT_3000122,NAE06/FC-1.NAE6-T1-FEC61.ZN1-T,Zone 1 Temperature
22,OBJECT_ANALOG_INPUT_3000138,NAE06/FC-1.NAE6-T1-FEC62.ZN2-T,Zone2 Temperature
23,OBJECT_ANALOG_INPUT_3000140,NAE06/FC-1.NAE6-T1-FEC62.ZN1-T,Zone 1 Temperature
24,OBJECT_ANALOG_INPUT_3000156,NAE06/FC-1.NAE6-T1-FEC63.ZN2-T,Zone2 Temperature
25,OBJECT_ANALOG_INPUT_3000158,NAE06/FC-1.NAE6-T1-FEC63.ZN1-T,Zone 1 Temperature
26,OBJECT_ANALOG_INPUT_3000174,NAE06/FC-1.NAE6-T1-FEC64.ZN2-T,Zone2 Temperature
27,OBJECT_ANALOG_INPUT_3000176,NAE06/FC-1.NAE6-T1-FEC64.ZN1-T,Zone 1 Temperature
28,OBJECT_ANALOG_INPUT_3000192,NAE06/FC-1.NAE6-T1-FEC65.ZN2-T,Zone2 Temperature
29,OBJECT_ANALOG_INPUT_3000194,NAE06/FC-1.NAE6-T1-FEC65.ZN1-T,Zone 1 Temperature
