PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
OBJECT_DEVICE_509,NAE08,8th floor mechanical room
OBJECT_ANALOG_INPUT_3000054,NAE08/FC-1.NAE08-T1-FEC70.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000056,NAE08/FC-1.NAE08-T1-FEC70.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000071,NAE08/FC-1.NAE8-T1-FEC71.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000073,NAE08/FC-1.NAE8-T1-FEC71.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000088,NAE08/FC-1.NAE8-T1-FEC72.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000090,NAE08/FC-1.NAE8-T1-FEC72.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000105,NAE08/FC-1.NAE8-T1-FEC73.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000107,NAE08/FC-1.NAE8-T1-FEC73.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000122,NAE08/FC-1.NAE8-T1-FEC74.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000124,NAE08/FC-1.NAE8-T1-FEC74.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000139,NAE08/FC-1.NAE8-T1-FEC75.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000141,NAE08/FC-1.NAE8-T1-FEC75.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000156,NAE08/FC-1.NAE8-T1-FEC76.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000158,NAE08/FC-1.NAE8-T1-FEC76.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000173,NAE08/FC-1.NAE8-T1-FEC77.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000175,NAE08/FC-1.NAE8-T1-FEC77.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000190,NAE08/FC-1.NAE8-T1-FEC78.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000192,NAE08/FC-1.NAE8-T1-FEC78.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000207,NAE08/FC-1.NAE8-T1-FEC79.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000209,NAE08/FC-1.NAE8-T1-FEC79.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000224,NAE08/FC-1.NAE8-T1-FEC80.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000226,NAE08/FC-1.NAE8-T1-FEC80.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000236,NAE08/FC-1.NAE8-T1-FEC81.FLOOR-P1,Floor Static Pressure 1
OBJECT_ANALOG_INPUT_3000237,NAE08/FC-1.NAE8-T1-FEC81.FLOOR-P2,Floor Static Pressure 2
OBJECT_ANALOG_INPUT_3000242,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2A,Return Air CO2 Sensor A
OBJECT_ANALOG_INPUT_3000243,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2B,Return Air CO2 Sensor B
OBJECT_ANALOG_INPUT_3000244,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2C,Return Air CO2 Sensor C
OBJECT_ANALOG_INPUT_3000245,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2D,Return Air CO2 Sensor D
OBJECT_ANALOG_INPUT_3000246,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2E,Return Air CO2
OBJECT_ANALOG_INPUT_3000248,NAE08/FC-1.NAE8-T1-FEC81.SA-T,Supply Air Temperature
OBJECT_ANALOG_INPUT_3000249,NAE08/FC-1.NAE8-T1-FEC81.ZN1-T,South West Corner
OBJECT_ANALOG_INPUT_3000250,NAE08/FC-1.NAE8-T1-FEC81.ZN2-T,North East Corner
OBJECT_ANALOG_INPUT_3000251,NAE08/FC-1.NAE8-T1-FEC81.ZN3-T,West Electrical Room
OBJECT_ANALOG_INPUT_3000252,NAE08/FC-1.NAE8-T1-FEC81.ZN4-T,Compartment Unit Temp
OBJECT_ANALOG_INPUT_3000256,NAE08/FC-1.NAE8-T1-FEC81.OA-F,Outdoor Air Flow
OBJECT_ANALOG_INPUT_3000269,NAE08/FC-1.NAE8-T1-FEC58.FLOOR-P1,Floor Static Pressure 1
OBJECT_ANALOG_INPUT_3000270,NAE08/FC-1.NAE8-T1-FEC58.FLOOR-P2,Floor Static Pressure 2
OBJECT_ANALOG_INPUT_3000275,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2A,Return Air CO2 Sensor A
OBJECT_ANALOG_INPUT_3000276,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2B,Return Air CO2 Sensor B
OBJECT_ANALOG_INPUT_3000277,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2C,Return Air CO2 Sensor C
OBJECT_ANALOG_INPUT_3000278,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2D,Return Air CO2 Sensor D
OBJECT_ANALOG_INPUT_3000279,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2E,Return Air CO2
OBJECT_ANALOG_INPUT_3000281,NAE08/FC-1.NAE8-T1-FEC58.SA-T,Supply Air Temperature
OBJECT_ANALOG_INPUT_3000282,NAE08/FC-1.NAE8-T1-FEC58.ZN1-T,South West Corner
OBJECT_ANALOG_INPUT_3000283,NAE08/FC-1.NAE8-T1-FEC58.ZN2-T,North East Corner
OBJECT_ANALOG_INPUT_3000284,NAE08/FC-1.NAE8-T1-FEC58.ZN3-T,West Electrical Room
OBJECT_ANALOG_INPUT_3000285,NAE08/FC-1.NAE8-T1-FEC58.ZN4-T,Compartment Unit Temp
OBJECT_ANALOG_INPUT_3000289,NAE08/FC-1.NAE8-T1-FEC58.OA-F,Outdoor Air Flow
OBJECT_ANALOG_INPUT_3000307,NAE08/FC-1.NAE8-T1-FEC59.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000309,NAE08/FC-1.NAE8-T1-FEC59.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000324,NAE08/FC-1.NAE8-T1-FEC60.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000326,NAE08/FC-1.NAE8-T1-FEC60.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000341,NAE08/FC-1.NAE8-T1-FEC61.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000343,NAE08/FC-1.NAE8-T1-FEC61.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000358,NAE08/FC-1.NAE8-T1-FEC62.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000360,NAE08/FC-1.NAE8-T1-FEC62.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000375,NAE08/FC-1.NAE8-T1-FEC63.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000377,NAE08/FC-1.NAE8-T1-FEC63.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000392,NAE08/FC-1.NAE8-T1-FEC64.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000394,NAE08/FC-1.NAE8-T1-FEC64.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000409,NAE08/FC-1.NAE8-T1-FEC65.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000411,NAE08/FC-1.NAE8-T1-FEC65.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000426,NAE08/FC-1.NAE8-T1-FEC66.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000443,NAE08/FC-1.NAE8-T1-FEC67.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000445,NAE08/FC-1.NAE8-T1-FEC67.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000460,NAE08/FC-1.NAE8-T1-FEC68.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000462,NAE08/FC-1.NAE8-T1-FEC68.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000477,NAE08/FC-1.NAE8-T1-FEC69.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000479,NAE08/FC-1.NAE8-T1-FEC69.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000489,NAE08/FC-1.NAE8-T1-FEC45.FLOOR-P1,Floor Static Pressure 1
OBJECT_ANALOG_INPUT_3000490,NAE08/FC-1.NAE8-T1-FEC45.FLOOR-P2,Floor Static Pressure 2
OBJECT_ANALOG_INPUT_3000496,NAE08/FC-1.NAE8-T1-FEC45.RA-CO2B,Return Air CO2 Sensor B
OBJECT_ANALOG_INPUT_3000497,NAE08/FC-1.NAE8-T1-FEC45.RA-CO2C,Return Air CO2 Sensor C
OBJECT_ANALOG_INPUT_3000498,NAE08/FC-1.NAE8-T1-FEC45.RA-CO2D,Return Air CO2 Sensor D
OBJECT_ANALOG_INPUT_3000499,NAE08/FC-1.NAE8-T1-FEC45.RA-CO2E,Return Air CO2
OBJECT_ANALOG_INPUT_3000501,NAE08/FC-1.NAE8-T1-FEC45.SA-T,Supply Air Temperature
OBJECT_ANALOG_INPUT_3000502,NAE08/FC-1.NAE8-T1-FEC45.ZN1-T,South West Corner
OBJECT_ANALOG_INPUT_3000503,NAE08/FC-1.NAE8-T1-FEC45.ZN2-T,North East Corner
OBJECT_ANALOG_INPUT_3000504,NAE08/FC-1.NAE8-T1-FEC45.ZN3-T,West Electrical Room
OBJECT_ANALOG_INPUT_3000505,NAE08/FC-1.NAE8-T1-FEC45.ZN4-T,Compartment Unit Temp
OBJECT_ANALOG_INPUT_3000509,NAE08/FC-1.NAE8-T1-FEC45.OA-F,Outdoor Air Flow
OBJECT_ANALOG_INPUT_3000527,NAE08/FC-1.NAE8-T1-FEC46.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000529,NAE08/FC-1.NAE8-T1-FEC46.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000544,NAE08/FC-1.NAE8-T1-FEC47.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000546,NAE08/FC-1.NAE8-T1-FEC47.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000561,NAE08/FC-1.NAE8-T1-FEC48.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000563,NAE08/FC-1.NAE8-T1-FEC48.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000578,NAE08/FC-1.NAE8-T1-FEC49.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000580,NAE08/FC-1.NAE8-T1-FEC49.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000595,NAE08/FC-1.NAE8-T1-FEC50.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000597,NAE08/FC-1.NAE8-T1-FEC50.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000612,NAE08/FC-1.NAE8-T1-FEC51.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000614,NAE08/FC-1.NAE8-T1-FEC51.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000629,NAE08/FC-1.NAE8-T1-FEC52.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000631,NAE08/FC-1.NAE8-T1-FEC52.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000646,NAE08/FC-1.NAE8-T1-FEC53.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000648,NAE08/FC-1.NAE8-T1-FEC53.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000663,NAE08/FC-1.NAE8-T1-FEC54.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000665,NAE08/FC-1.NAE8-T1-FEC54.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000680,NAE08/FC-1.NAE8-T1-FEC55.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000682,NAE08/FC-1.NAE8-T1-FEC55.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000697,NAE08/FC-1.NAE8-T1-FEC56.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3000699,NAE08/FC-1.NAE8-T1-FEC56.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3000710,NAE08/FC-1.NAE8-T1-VMA44.DA-VP,Discharge Air Velocity Pressure
OBJECT_ANALOG_INPUT_3000717,NAE08/FC-1.NAE8-T1-VMA57.DA-VP,Discharge Air Velocity Pressure
OBJECT_ANALOG_INPUT_3000724,NAE08/FC-1.NAE8-T1-VMA73.DA-VP,Discharge Air Velocity Pressure
OBJECT_ANALOG_INPUT_3001023,NAE08/FC-1.9-UP-86.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3001025,NAE08/FC-1.9-UP-86.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3001027,NAE08/FC-1.9-UP-86.ZN3-T,Zone3 Temperature
OBJECT_ANALOG_INPUT_3001045,NAE08/FC-1.9-UP-85.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3001047,NAE08/FC-1.9-UP-85.ZN2-T,Zone2 Temperature
OBJECT_ANALOG_INPUT_3001061,NAE08/FC-1.9-UP-84.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3001073,NAE08/FC-1.9-UP-83.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3001111,NAE08/FC-1.9-UP-87.DA-VP,Discharge Air Velocity Pressure
OBJECT_ANALOG_INPUT_3001140,NAE08/FC-1.NAE8-T1-VMA73.ZN-T,Zone Temperature
OBJECT_ANALOG_INPUT_3001149,NAE08/FC-1.NAE8-T1-VMA44.ZN-T,Zone Temperature
OBJECT_ANALOG_INPUT_3001150,NAE08/FC-1.NAE8-T1-VMA57.ZN-T,Zone Temperature
OBJECT_ANALOG_INPUT_3001664,NAE08/FC-1.7-UP-90.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3001666,NAE08/FC-1.7-UP-90.ZN2-T,Zone 2 Temperature
OBJECT_ANALOG_INPUT_3001668,NAE08/FC-1.7-UP-90.ZN3-T,Zone 3 Temperature
OBJECT_ANALOG_INPUT_3001709,NAE08/FC-1.7-UP-91.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3001750,NAE08/FC-1.7-UP-92.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3001752,NAE08/FC-1.7-UP-92.ZN2-T,Zone 2 Temperature
OBJECT_ANALOG_INPUT_3001754,NAE08/FC-1.7-UP-92.ZN3-T,Zone 3 Temperature
OBJECT_ANALOG_INPUT_3002154,NAE08/FC-1.NAE8-T1-FEC66.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3002175,NAE08/FC-1.8-UP-100.ZN3-T,Zone 3 Temperature
OBJECT_ANALOG_INPUT_3002176,NAE08/FC-1.8-UP-100.ZN2-T,Zone 2 Temperature
OBJECT_ANALOG_INPUT_3002465,NAE08/FC-1.9-UP-88.DA-VP,Discharge Air Velocity Pressure
OBJECT_ANALOG_INPUT_3002526,NAE08/FC-1.8-UP-101.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3002560,NAE08/FC-1.7-UP-91.ZNA-CO2,Zone A CO2
OBJECT_ANALOG_INPUT_3002586,NAE08/FC-1.NAE8-T1-FEC64.ZN3-T,Zone 3 Temperature
OBJECT_ANALOG_INPUT_3002617,NAE08/FC-1.7-UP-93.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3003417,NAE08/FC-1.9-UP-89.DA-VP,Discharge Air Velocity Pressure
OBJECT_ANALOG_INPUT_3003418,NAE08/FC-1.9-UP-89.ZN-T,Zone Temperature
OBJECT_ANALOG_INPUT_3003804,NAE08/FC-1.8-UP-102.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_OUTPUT_3000049,NAE08/FC-1.NAE08-T1-FEC70.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000050,NAE08/FC-1.NAE08-T1-FEC70.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000051,NAE08/FC-1.NAE08-T1-FEC70.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000053,NAE08/FC-1.NAE08-T1-FEC70.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000066,NAE08/FC-1.NAE8-T1-FEC71.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000067,NAE08/FC-1.NAE8-T1-FEC71.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000068,NAE08/FC-1.NAE8-T1-FEC71.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000070,NAE08/FC-1.NAE8-T1-FEC71.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000083,NAE08/FC-1.NAE8-T1-FEC72.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000084,NAE08/FC-1.NAE8-T1-FEC72.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000085,NAE08/FC-1.NAE8-T1-FEC72.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000087,NAE08/FC-1.NAE8-T1-FEC72.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000100,NAE08/FC-1.NAE8-T1-FEC73.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000101,NAE08/FC-1.NAE8-T1-FEC73.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000102,NAE08/FC-1.NAE8-T1-FEC73.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000104,NAE08/FC-1.NAE8-T1-FEC73.DAD1-O,Discharge Air Damper Output
