,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
0,OBJECT_DEVICE_509,NAE08
1,OBJECT_ANALOG_INPUT_3000054,NAE08/FC-1.NAE08-T1-FEC70.ZN2-T
2,OBJECT_ANALOG_INPUT_3000056,NAE08/FC-1.NAE08-T1-FEC70.ZN1-T
3,OBJECT_ANALOG_INPUT_3000071,NAE08/FC-1.NAE8-T1-FEC71.ZN2-T
4,OBJECT_ANALOG_INPUT_3000073,NAE08/FC-1.NAE8-T1-FEC71.ZN1-T
5,OBJECT_ANALOG_INPUT_3000088,NAE08/FC-1.NAE8-T1-FEC72.ZN2-T
6,OBJECT_ANALOG_INPUT_3000090,NAE08/FC-1.NAE8-T1-FEC72.ZN1-T
7,OBJECT_ANALOG_INPUT_3000105,NAE08/FC-1.NAE8-T1-FEC73.ZN2-T
8,OBJECT_ANALOG_INPUT_3000107,NAE08/FC-1.NAE8-T1-FEC73.ZN1-T
9,OBJECT_ANALOG_INPUT_3000122,NAE08/FC-1.NAE8-T1-FEC74.ZN2-T
10,OBJECT_ANALOG_INPUT_3000124,NAE08/FC-1.NAE8-T1-FEC74.ZN1-T
11,OBJECT_ANALOG_INPUT_3000139,NAE08/FC-1.NAE8-T1-FEC75.ZN2-T
12,OBJECT_ANALOG_INPUT_3000141,NAE08/FC-1.NAE8-T1-FEC75.ZN1-T
13,OBJECT_ANALOG_INPUT_3000156,NAE08/FC-1.NAE8-T1-FEC76.ZN2-T
14,OBJECT_ANALOG_INPUT_3000158,NAE08/FC-1.NAE8-T1-FEC76.ZN1-T
15,OBJECT_ANALOG_INPUT_3000173,NAE08/FC-1.NAE8-T1-FEC77.ZN2-T
16,OBJECT_ANALOG_INPUT_3000175,NAE08/FC-1.NAE8-T1-FEC77.ZN1-T
17,OBJECT_ANALOG_INPUT_3000190,NAE08/FC-1.NAE8-T1-FEC78.ZN2-T
18,OBJECT_ANALOG_INPUT_3000192,NAE08/FC-1.NAE8-T1-FEC78.ZN1-T
19,OBJECT_ANALOG_INPUT_3000207,NAE08/FC-1.NAE8-T1-FEC79.ZN2-T
20,OBJECT_ANALOG_INPUT_3000209,NAE08/FC-1.NAE8-T1-FEC79.ZN1-T
21,OBJECT_ANALOG_INPUT_3000224,NAE08/FC-1.NAE8-T1-FEC80.ZN2-T
22,OBJECT_ANALOG_INPUT_3000226,NAE08/FC-1.NAE8-T1-FEC80.ZN1-T
23,OBJECT_ANALOG_INPUT_3000236,NAE08/FC-1.NAE8-T1-FEC81.FLOOR-P1
24,OBJECT_ANALOG_INPUT_3000237,NAE08/FC-1.NAE8-T1-FEC81.FLOOR-P2
25,OBJECT_ANALOG_INPUT_3000242,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2A
26,OBJECT_ANALOG_INPUT_3000243,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2B
27,OBJECT_ANALOG_INPUT_3000244,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2C
28,OBJECT_ANALOG_INPUT_3000245,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2D
29,OBJECT_ANALOG_INPUT_3000246,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2E
30,OBJECT_ANALOG_INPUT_3000248,NAE08/FC-1.NAE8-T1-FEC81.SA-T
31,OBJECT_ANALOG_INPUT_3000249,NAE08/FC-1.NAE8-T1-FEC81.ZN1-T
32,OBJECT_ANALOG_INPUT_3000250,NAE08/FC-1.NAE8-T1-FEC81.ZN2-T
33,OBJECT_ANALOG_INPUT_3000251,NAE08/FC-1.NAE8-T1-FEC81.ZN3-T
34,OBJECT_ANALOG_INPUT_3000252,NAE08/FC-1.NAE8-T1-FEC81.ZN4-T
35,OBJECT_ANALOG_INPUT_3000256,NAE08/FC-1.NAE8-T1-FEC81.OA-F
36,OBJECT_ANALOG_INPUT_3000269,NAE08/FC-1.NAE8-T1-FEC58.FLOOR-P1
37,OBJECT_ANALOG_INPUT_3000270,NAE08/FC-1.NAE8-T1-FEC58.FLOOR-P2
38,OBJECT_ANALOG_INPUT_3000275,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2A
39,OBJECT_ANALOG_INPUT_3000276,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2B
40,OBJECT_ANALOG_INPUT_3000277,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2C
41,OBJECT_ANALOG_INPUT_3000278,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2D
42,OBJECT_ANALOG_INPUT_3000279,NAE08/FC-1.NAE8-T1-FEC58.RA-CO2E
43,OBJECT_ANALOG_INPUT_3000281,NAE08/FC-1.NAE8-T1-FEC58.SA-T
44,OBJECT_ANALOG_INPUT_3000282,NAE08/FC-1.NAE8-T1-FEC58.ZN1-T
45,OBJECT_ANALOG_INPUT_3000283,NAE08/FC-1.NAE8-T1-FEC58.ZN2-T
46,OBJECT_ANALOG_INPUT_3000284,NAE08/FC-1.NAE8-T1-FEC58.ZN3-T
47,OBJECT_ANALOG_INPUT_3000285,NAE08/FC-1.NAE8-T1-FEC58.ZN4-T
48,OBJECT_ANALOG_INPUT_3000289,NAE08/FC-1.NAE8-T1-FEC58.OA-F
49,OBJECT_ANALOG_INPUT_3000307,NAE08/FC-1.NAE8-T1-FEC59.ZN2-T
50,OBJECT_ANALOG_INPUT_3000309,NAE08/FC-1.NAE8-T1-FEC59.ZN1-T
51,OBJECT_ANALOG_INPUT_3000324,NAE08/FC-1.NAE8-T1-FEC60.ZN2-T
52,OBJECT_ANALOG_INPUT_3000326,NAE08/FC-1.NAE8-T1-FEC60.ZN1-T
53,OBJECT_ANALOG_INPUT_3000341,NAE08/FC-1.NAE8-T1-FEC61.ZN2-T
54,OBJECT_ANALOG_INPUT_3000343,NAE08/FC-1.NAE8-T1-FEC61.ZN1-T
55,OBJECT_ANALOG_INPUT_3000358,NAE08/FC-1.NAE8-T1-FEC62.ZN2-T
56,OBJECT_ANALOG_INPUT_3000360,NAE08/FC-1.NAE8-T1-FEC62.ZN1-T
57,OBJECT_ANALOG_INPUT_3000375,NAE08/FC-1.NAE8-T1-FEC63.ZN2-T
58,OBJECT_ANALOG_INPUT_3000377,NAE08/FC-1.NAE8-T1-FEC63.ZN1-T
59,OBJECT_ANALOG_INPUT_3000392,NAE08/FC-1.NAE8-T1-FEC64.ZN2-T
60,OBJECT_ANALOG_INPUT_3000394,NAE08/FC-1.NAE8-T1-FEC64.ZN1-T
61,OBJECT_ANALOG_INPUT_3000409,NAE08/FC-1.NAE8-T1-FEC65.ZN2-T
62,OBJECT_ANALOG_INPUT_3000411,NAE08/FC-1.NAE8-T1-FEC65.ZN1-T
63,OBJECT_ANALOG_INPUT_3000426,NAE08/FC-1.NAE8-T1-FEC66.ZN2-T
64,OBJECT_ANALOG_INPUT_3000443,NAE08/FC-1.NAE8-T1-FEC67.ZN2-T
65,OBJECT_ANALOG_INPUT_3000445,NAE08/FC-1.NAE8-T1-FEC67.ZN1-T
66,OBJECT_ANALOG_INPUT_3000460,NAE08/FC-1.NAE8-T1-FEC68.ZN2-T
67,OBJECT_ANALOG_INPUT_3000462,NAE08/FC-1.NAE8-T1-FEC68.ZN1-T
68,OBJECT_ANALOG_INPUT_3000477,NAE08/FC-1.NAE8-T1-FEC69.ZN2-T
69,OBJECT_ANALOG_INPUT_3000479,NAE08/FC-1.NAE8-T1-FEC69.ZN1-T
70,OBJECT_ANALOG_INPUT_3000489,NAE08/FC-1.NAE8-T1-FEC45.FLOOR-P1
71,OBJECT_ANALOG_INPUT_3000490,NAE08/FC-1.NAE8-T1-FEC45.FLOOR-P2
72,OBJECT_ANALOG_INPUT_3000496,NAE08/FC-1.NAE8-T1-FEC45.RA-CO2B
73,OBJECT_ANALOG_INPUT_3000497,NAE08/FC-1.NAE8-T1-FEC45.RA-CO2C
74,OBJECT_ANALOG_INPUT_3000498,NAE08/FC-1.NAE8-T1-FEC45.RA-CO2D
75,OBJECT_ANALOG_INPUT_3000499,NAE08/FC-1.NAE8-T1-FEC45.RA-CO2E
76,OBJECT_ANALOG_INPUT_3000501,NAE08/FC-1.NAE8-T1-FEC45.SA-T
77,OBJECT_ANALOG_INPUT_3000502,NAE08/FC-1.NAE8-T1-FEC45.ZN1-T
78,OBJECT_ANALOG_INPUT_3000503,NAE08/FC-1.NAE8-T1-FEC45.ZN2-T
79,OBJECT_ANALOG_INPUT_3000504,NAE08/FC-1.NAE8-T1-FEC45.ZN3-T
80,OBJECT_ANALOG_INPUT_3000505,NAE08/FC-1.NAE8-T1-FEC45.ZN4-T
81,OBJECT_ANALOG_INPUT_3000509,NAE08/FC-1.NAE8-T1-FEC45.OA-F
82,OBJECT_ANALOG_INPUT_3000527,NAE08/FC-1.NAE8-T1-FEC46.ZN2-T
83,OBJECT_ANALOG_INPUT_3000529,NAE08/FC-1.NAE8-T1-FEC46.ZN1-T
84,OBJECT_ANALOG_INPUT_3000544,NAE08/FC-1.NAE8-T1-FEC47.ZN2-T
85,OBJECT_ANALOG_INPUT_3000546,NAE08/FC-1.NAE8-T1-FEC47.ZN1-T
86,OBJECT_ANALOG_INPUT_3000561,NAE08/FC-1.NAE8-T1-FEC48.ZN2-T
87,OBJECT_ANALOG_INPUT_3000563,NAE08/FC-1.NAE8-T1-FEC48.ZN1-T
88,OBJECT_ANALOG_INPUT_3000578,NAE08/FC-1.NAE8-T1-FEC49.ZN2-T
89,OBJECT_ANALOG_INPUT_3000580,NAE08/FC-1.NAE8-T1-FEC49.ZN1-T
90,OBJECT_ANALOG_INPUT_3000595,NAE08/FC-1.NAE8-T1-FEC50.ZN2-T
91,OBJECT_ANALOG_INPUT_3000597,NAE08/FC-1.NAE8-T1-FEC50.ZN1-T
92,OBJECT_ANALOG_INPUT_3000612,NAE08/FC-1.NAE8-T1-FEC51.ZN2-T
93,OBJECT_ANALOG_INPUT_3000614,NAE08/FC-1.NAE8-T1-FEC51.ZN1-T
94,OBJECT_ANALOG_INPUT_3000629,NAE08/FC-1.NAE8-T1-FEC52.ZN2-T
