,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
0,OBJECT_DEVICE_509,NAE08,8th floor mechanical room
1,OBJECT_ANALOG_INPUT_3000054,NAE08/FC-1.NAE08-T1-FEC70.ZN2-T,Zone2 Temperature
2,OBJECT_ANALOG_INPUT_3000056,NAE08/FC-1.NAE08-T1-FEC70.ZN1-T,Zone 1 Temperature
3,OBJECT_ANALOG_INPUT_3000071,NAE08/FC-1.NAE8-T1-FEC71.ZN2-T,Zone2 Temperature
4,OBJECT_ANALOG_INPUT_3000073,NAE08/FC-1.NAE8-T1-FEC71.ZN1-T,Zone 1 Temperature
5,OBJECT_ANALOG_INPUT_3000088,NAE08/FC-1.NAE8-T1-FEC72.ZN2-T,Zone2 Temperature
6,OBJECT_ANALOG_INPUT_3000090,NAE08/FC-1.NAE8-T1-FEC72.ZN1-T,Zone 1 Temperature
7,OBJECT_ANALOG_INPUT_3000105,NAE08/FC-1.NAE8-T1-FEC73.ZN2-T,Zone2 Temperature
8,OBJECT_ANALOG_INPUT_3000107,NAE08/FC-1.NAE8-T1-FEC73.ZN1-T,Zone 1 Temperature
9,OBJECT_ANALOG_INPUT_3000122,NAE08/FC-1.NAE8-T1-FEC74.ZN2-T,Zone2 Temperature
10,OBJECT_ANALOG_INPUT_3000124,NAE08/FC-1.NAE8-T1-FEC74.ZN1-T,Zone 1 Temperature
11,OBJECT_ANALOG_INPUT_3000139,NAE08/FC-1.NAE8-T1-FEC75.ZN2-T,Zone2 Temperature
12,OBJECT_ANALOG_INPUT_3000141,NAE08/FC-1.NAE8-T1-FEC75.ZN1-T,Zone 1 Temperature
13,OBJECT_ANALOG_INPUT_3000156,NAE08/FC-1.NAE8-T1-FEC76.ZN2-T,Zone2 Temperature
14,OBJECT_ANALOG_INPUT_3000158,NAE08/FC-1.NAE8-T1-FEC76.ZN1-T,Zone 1 Temperature
15,OBJECT_ANALOG_INPUT_3000173,NAE08/FC-1.NAE8-T1-FEC77.ZN2-T,Zone2 Temperature
16,OBJECT_ANALOG_INPUT_3000175,NAE08/FC-1.NAE8-T1-FEC77.ZN1-T,Zone 1 Temperature
17,OBJECT_ANALOG_INPUT_3000190,NAE08/FC-1.NAE8-T1-FEC78.ZN2-T,Zone2 Temperature
18,OBJECT_ANALOG_INPUT_3000192,NAE08/FC-1.NAE8-T1-FEC78.ZN1-T,Zone 1 Temperature
19,OBJECT_ANALOG_INPUT_3000207,NAE08/FC-1.NAE8-T1-FEC79.ZN2-T,Zone2 Temperature
20,OBJECT_ANALOG_INPUT_3000209,NAE08/FC-1.NAE8-T1-FEC79.ZN1-T,Zone 1 Temperature
21,OBJECT_ANALOG_INPUT_3000224,NAE08/FC-1.NAE8-T1-FEC80.ZN2-T,Zone2 Temperature
22,OBJECT_ANALOG_INPUT_3000226,NAE08/FC-1.NAE8-T1-FEC80.ZN1-T,Zone 1 Temperature
23,OBJECT_ANALOG_INPUT_3000236,NAE08/FC-1.NAE8-T1-FEC81.FLOOR-P1,Floor Static Pressure 1
24,OBJECT_ANALOG_INPUT_3000237,NAE08/FC-1.NAE8-T1-FEC81.FLOOR-P2,Floor Static Pressure 2
25,OBJECT_ANALOG_INPUT_3000242,NAE08/FC-1.NAE8-T1-FEC81.RA-CO2A,Return Air CO2 Sensor A
