,Unnamed: 0,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
0,0,OBJECT_DEVICE_507,MeSH_Boiler'NAE06\MeSH_Notification',19th floor mechanical room
1,1,OBJECT_ANALOG_INPUT_3000011,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.FLOOR-P1\MeSH_Notification'",Floor Static Pressure 1
2,2,OBJECT_ANALOG_INPUT_3000014,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.FLOOR-P2\MeSH_Notification'",Floor Static Pressure 2
3,3,OBJECT_ANALOG_INPUT_3000025,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_Return Air-CO2A\MeSH_Notification'",Return Air CO2 Sensor A
4,4,OBJECT_ANALOG_INPUT_3000026,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_Return Air-CO2B\MeSH_Notification'",Return Air CO2 Sensor B
5,5,OBJECT_ANALOG_INPUT_3000027,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_Return Air-CO2C\MeSH_Notification'",Return Air CO2 Sensor C
6,6,OBJECT_ANALOG_INPUT_3000028,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_Return Air-CO2D\MeSH_Notification'",Return Air CO2 Sensor D
7,7,OBJECT_ANALOG_INPUT_3000029,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_Return Air-CO2E\MeSH_Notification'",Return Air CO2
8,8,OBJECT_ANALOG_INPUT_3000031,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_local network source MAC layer address-MeSH_Temperature\MeSH_Notification'",Supply Air Temperature
9,9,OBJECT_ANALOG_INPUT_3000034,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.ZN1-MeSH_Temperature\MeSH_Notification'",South West Corner
10,10,OBJECT_ANALOG_INPUT_3000036,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.ZN2-MeSH_Temperature\MeSH_Notification'",North East Corner
11,11,OBJECT_ANALOG_INPUT_3000038,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.ZN3-MeSH_Temperature\MeSH_Notification'",West Electrical Room
12,12,OBJECT_ANALOG_INPUT_3000040,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.ZN4-MeSH_Temperature\MeSH_Notification'",Compartment Unit Temp
13,13,OBJECT_ANALOG_INPUT_3000047,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC57.MeSH_Outdoor Air-MeSH_Flow Rate, Volumetric\MeSH_Notification'",Outdoor Air Flow
14,14,OBJECT_ANALOG_INPUT_3000066,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC58.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
15,15,OBJECT_ANALOG_INPUT_3000068,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC58.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
16,16,OBJECT_ANALOG_INPUT_3000084,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC59.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
17,17,OBJECT_ANALOG_INPUT_3000086,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC59.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
18,18,OBJECT_ANALOG_INPUT_3000102,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC60.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
19,19,OBJECT_ANALOG_INPUT_3000104,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC60.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
20,20,OBJECT_ANALOG_INPUT_3000120,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC61.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
21,21,OBJECT_ANALOG_INPUT_3000122,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC61.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
22,22,OBJECT_ANALOG_INPUT_3000138,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC62.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
23,23,OBJECT_ANALOG_INPUT_3000140,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC62.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
24,24,OBJECT_ANALOG_INPUT_3000156,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC63.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
25,25,OBJECT_ANALOG_INPUT_3000158,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC63.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
26,26,OBJECT_ANALOG_INPUT_3000174,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC64.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
27,27,OBJECT_ANALOG_INPUT_3000176,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC64.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
28,28,OBJECT_ANALOG_INPUT_3000192,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC65.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
29,29,OBJECT_ANALOG_INPUT_3000194,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC65.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
30,30,OBJECT_ANALOG_INPUT_3000210,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC66.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
31,31,OBJECT_ANALOG_INPUT_3000212,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC66.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
32,32,OBJECT_ANALOG_INPUT_3000228,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC67.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
33,33,OBJECT_ANALOG_INPUT_3000230,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC67.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
34,34,OBJECT_ANALOG_INPUT_3000246,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC68.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature
35,35,OBJECT_ANALOG_INPUT_3000248,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC68.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature
36,36,OBJECT_ANALOG_INPUT_3000259,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC44.FLOOR-P1\MeSH_Notification'",Floor Static Pressure 1
37,37,OBJECT_ANALOG_INPUT_3000262,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC44.FLOOR-P2\MeSH_Notification'",Floor Static Pressure 2
38,38,OBJECT_ANALOG_INPUT_3000273,"MeSH_Boiler'NAE06/MeSH_Flow Rate, Voumetric, Cumulative-1.NAE6-T1-FEC44.MeSH_Return Air-CO2A\MeSH_Notification'",Return Air CO2 Sensor A
