,Unnamed: 0.1,PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION,label
0,0,OBJECT_DEVICE_503,MeSH_Boiler'NAE03\MeSH_Notification',23rd floor mechanical room,ahus zone air temp effective sp
1,1,OBJECT_ANALOG_INPUT_3000018,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC17.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
2,2,OBJECT_ANALOG_INPUT_3000020,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC17.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
3,3,OBJECT_ANALOG_INPUT_3000036,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC18.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
4,4,OBJECT_ANALOG_INPUT_3000038,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC18.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
5,5,OBJECT_ANALOG_INPUT_3000054,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC19.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
6,6,OBJECT_ANALOG_INPUT_3000056,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC19.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
7,7,OBJECT_ANALOG_INPUT_3000072,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC20.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
8,8,OBJECT_ANALOG_INPUT_3000074,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC20.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
9,9,OBJECT_ANALOG_INPUT_3000090,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC21.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
10,10,OBJECT_ANALOG_INPUT_3000092,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC21.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
11,11,OBJECT_ANALOG_INPUT_3000108,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC22.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
12,12,OBJECT_ANALOG_INPUT_3000110,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC22.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
13,13,OBJECT_ANALOG_INPUT_3000126,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC23.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
14,14,OBJECT_ANALOG_INPUT_3000128,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC23.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
15,15,OBJECT_ANALOG_INPUT_3000144,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC24.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
16,16,OBJECT_ANALOG_INPUT_3000146,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC24.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
17,17,OBJECT_ANALOG_INPUT_3000162,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC25.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
18,18,OBJECT_ANALOG_INPUT_3000164,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC25.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
19,19,OBJECT_ANALOG_INPUT_3000180,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC26.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
20,20,OBJECT_ANALOG_INPUT_3000182,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC26.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
21,21,OBJECT_ANALOG_INPUT_3000198,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC27.ZN2-MeSH_Temperature\MeSH_Notification'",Zone2 Temperature,ahus zone air temp sensor
22,22,OBJECT_ANALOG_INPUT_3000200,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC27.ZN1-MeSH_Temperature\MeSH_Notification'",Zone 1 Temperature,ahus zone air temp sensor
23,23,OBJECT_ANALOG_INPUT_3000211,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.FLOOR-P1\MeSH_Notification'",Floor Static Pressure 1,ahus outside air pressure sensor
24,24,OBJECT_ANALOG_INPUT_3000214,"MeSH_Boiler'NAE03/MeSH_Flow Rate, Voumetric, Cumulative-2.NAE3-T2-FEC28.FLOOR-P2\MeSH_Notification'",Floor Static Pressure 2,ahus outside air pressure sensor
